Zip,Number of Trips
6450,1
6510,1
6514,1
6605,3
6615,1
6807,5
6820,6
6824,1
6825,1
6830,24
6831,2
6840,3
6851,3
6853,1
6854,3
6855,2
6870,6
6878,3
6880,7
6890,3
6897,1
6901,38
6902,3
6905,3
6906,2
7001,6
7002,122
7003,23
7004,18
7005,3
7006,11
7008,7
7009,17
7010,51
7011,4
7012,21
7013,8
7014,36
7016,14
7017,15
7018,18
7020,56
7021,17
7022,30
7023,5
7024,167
7026,18
7027,7
7028,32
7029,27
7030,2597
7031,13
7032,15
7033,11
7034,1
7035,2
7036,13
7039,27
7040,38
7041,17
7042,40
7043,29
7044,20
7045,3
7046,14
7047,63
7050,21
7052,41
7054,22
7055,6
7057,6
7058,4
7062,3
7063,3
7064,1
7065,22
7066,13
7067,4
7068,15
7069,5
7070,77
7071,10
7072,186
7073,42
7074,22
7075,16
7076,4
7077,3
7078,89
7079,56
7080,6
7081,21
7083,15
7086,251
7087,205
7088,10
7090,16
7092,4
7093,206
7094,277
7095,7
7102,475
7103,42
7104,22
7105,61
7106,18
7107,17
7108,21
7109,12
7110,32
7111,12
7112,12
7114,7150
7201,125
7202,26
7203,7
7204,9
7205,14
7206,27
7208,32
7302,916
7304,253
7305,97
7306,324
7307,235
7310,2234
7311,1223
7401,8
7405,3
7407,3
7410,8
7417,15
7420,1
7423,13
7424,12
7430,2
7432,5
7436,4
7440,6
7442,8
7444,9
7446,13
7450,31
7452,13
7457,5
7458,19
7463,9
7470,17
7481,15
7495,7
7501,11
7502,1
7503,4
7505,4
7506,7
7508,1
7512,16
7513,4
7514,1
7524,5
7601,47
7603,17
7604,32
7605,44
7606,7
7607,15
7608,34
7621,19
7624,2
7626,21
7627,6
7628,2
7630,3
7631,88
7632,64
7640,7
7641,2
7642,4
7643,6
7644,21
7645,11
7646,11
7647,6
7648,9
7649,13
7650,27
7652,34
7656,3
7657,9
7660,51
7661,25
7662,30
7663,11
7666,25
7670,43
7675,2
7676,15
7677,4
7701,11
7702,2
7703,1
7704,1
7711,5
7712,1
7716,2
7717,55
7719,3
7720,6
7721,1
7722,1
7723,4
7724,2
7726,1
7727,1
7728,2
7730,2
7731,1
7732,5
7733,3
7734,1
7739,2
7740,3
7746,3
7748,1
7750,4
7751,1
7753,6
7755,2
7756,14
7760,9
7762,21
7764,6
7801,3
7834,4
7847,1
7866,3
7869,2
7876,1
7901,56
7920,1
7921,8
7922,11
7924,4
7927,23
7928,14
7932,18
7933,1
7936,19
7939,5
7940,46
7945,2
7946,1
7950,15
7960,46
7974,10
7976,3
7980,2
7981,7
8512,1
8514,1
8520,5
8528,4
8536,16
8540,2
8542,31
8550,2
8553,2
8558,1
8619,1
8691,1
8722,3
8723,1
8724,1
8730,5
8735,4
8736,1
8738,3
8742,6
8750,22
8751,3
8753,1
8805,1
8807,5
8810,3
8812,1
8816,1
8817,10
8820,11
8824,1
