Zip,Number of Trips
7030,1
7102,1
7114,12
7302,1
7306,3
7310,3
7311,1
10001,34
10002,40
10003,31
10005,9
10006,5
10007,9
10009,28
10011,56
10012,63
10013,22
10014,31
10016,11
10017,24
10018,33
10019,18
10020,12
10021,23
10022,23
10023,16
10025,9
10026,1
10027,3
10028,22
10029,6
10030,1
10031,1
10034,2
10035,1
10037,1
10038,6
10039,1
10044,9
10065,22
10069,2
10103,19
10110,26
10111,9
10112,3
10115,1
10119,17
10152,7
10153,20
10154,5
10162,8
10167,9
10171,6
10199,19
10271,6
10278,9
10280,1
10282,10
10458,1
10468,1
10469,2
10473,1
10552,1
11003,1
11030,1
11101,7
11102,2
11103,3
11104,1
11105,1
11106,3
11109,4
11201,19
11203,1
11205,8
11206,3
11207,1
11209,3
11210,3
11211,18
11213,1
11215,9
11216,2
11217,14
11218,5
11219,2
11220,2
11221,1
11222,11
11223,1
11226,1
11229,1
11231,8
11233,5
11236,1
11237,5
11238,9
11239,1
11357,1
11368,1
11370,3
11371,24
11373,1
11374,2
11377,2
11378,1
11415,1
11416,1
11418,1
11421,2
11422,20
11432,1
11435,1
11436,1
11703,1
