Zip,Number of Trips
6807,1
7002,1
7014,1
7030,19
7039,1
7040,1
7042,1
7045,1
7050,2
7072,2
7073,1
7074,1
7078,1
7080,1
7086,1
7087,6
7094,2
7102,2
7103,1
7114,67
7201,1
7202,1
7302,5
7304,1
7306,2
7307,2
7310,22
7311,8
7405,1
7432,1
7458,2
7463,1
7508,2
7601,1
7604,1
7605,1
7631,2
7632,1
7644,2
7660,2
7704,1
7720,1
7756,1
7940,1
7960,1
8536,1
8542,1
8830,1
8837,1
8904,1
10001,440
10002,344
10003,411
10005,58
10006,45
10007,93
10009,220
10011,610
10012,568
10013,219
10014,340
10016,84
10017,224
10018,295
10019,172
10020,134
10021,230
10022,155
10023,197
10024,2
10025,52
10026,35
10027,22
10028,227
10029,41
10030,19
10031,6
10032,17
10034,11
10035,22
10037,6
10038,49
10039,6
10044,94
10065,163
10069,52
10103,172
10110,266
10111,91
10112,24
10115,13
10119,145
10152,62
10153,228
10154,68
10162,114
10167,92
10171,90
10199,214
10271,85
10278,122
10280,28
10282,106
10301,1
10303,1
10310,1
10311,1
10451,6
10452,4
10453,1
10454,4
10455,1
10456,3
10457,1
10458,7
10460,3
10461,4
10462,4
10463,10
10465,2
10466,1
10467,2
10468,7
10469,1
10471,5
10472,2
10473,2
10475,2
10523,1
10532,1
10538,1
10543,2
10553,1
10577,2
10580,3
10591,2
10601,4
10703,1
10705,1
10708,1
10801,1
10805,2
10968,1
11010,2
11020,1
11021,2
11030,3
11042,1
11101,27
11102,19
11103,20
11104,19
11105,16
11106,17
11109,33
11201,154
11203,1
11204,1
11205,66
11206,70
11207,2
11209,9
11210,11
11211,265
11212,3
11213,25
11214,2
11215,93
11216,52
11217,122
11218,23
11219,1
11220,14
11221,21
11222,113
11223,12
11224,1
11225,14
11226,12
11228,2
11229,5
11230,6
11231,76
11233,21
11234,1
11235,3
11236,6
11237,54
11238,89
11239,4
11354,1
11355,7
11356,1
11357,2
11360,3
11362,2
11363,1
11365,1
11366,4
11367,7
11368,14
11369,3
11370,35
11371,191
11372,9
11373,10
11374,8
11375,15
11377,13
11378,2
11379,3
11385,5
11412,1
11413,2
11414,1
11415,7
11416,4
11418,4
11419,1
11421,1
11422,211
11423,1
11432,5
11434,1
11435,8
11436,3
11501,1
11507,1
11510,1
11514,3
11516,1
11530,2
11545,2
11548,2
11561,1
11566,1
11570,1
11576,3
11590,1
11596,1
11710,1
11714,1
11725,1
11732,1
11743,1
11747,2
11796,1
11797,1
11801,1
11803,2
11949,1
