Zip,Number of Trips
6514,1
6807,1
6830,5
6878,1
6901,8
6902,2
7001,1
7002,14
7003,2
7004,2
7006,1
7008,3
7009,1
7010,6
7012,3
7013,2
7014,4
7016,3
7020,12
7021,1
7022,1
7023,3
7024,18
7026,1
7028,4
7029,5
7030,268
7031,1
7033,1
7039,5
7040,3
7042,6
7043,4
7044,1
7045,1
7046,2
7047,8
7050,3
7052,8
7058,1
7062,1
7065,1
7066,1
7068,3
7069,1
7070,6
7072,20
7073,3
7074,1
7075,4
7078,7
7079,5
7080,1
7081,3
7083,3
7086,21
7087,23
7088,2
7090,2
7093,21
7094,23
7095,1
7102,44
7103,2
7104,1
7105,5
7106,5
7108,1
7110,4
7111,4
7112,2
7114,715
7201,12
7202,3
7203,2
7204,1
7205,3
7206,3
7208,4
7302,84
7304,26
7305,7
7306,35
7307,27
7310,215
7311,113
7401,1
7407,1
7410,1
7417,1
7423,1
7430,1
7432,1
7436,1
7444,1
7446,3
7450,3
7452,1
7458,3
7463,3
7470,2
7501,1
7503,2
7512,3
7601,10
7603,4
7604,3
7605,3
7606,3
7607,1
7608,3
7626,3
7627,2
7631,16
7632,10
7644,1
7645,2
7647,2
7648,2
7650,2
7652,4
7660,6
7661,2
7662,1
7663,1
7666,3
7670,5
7675,1
7676,3
7701,1
7711,1
7716,1
7717,4
7726,1
7728,1
7750,1
7756,1
7762,1
7834,2
7876,1
7901,8
7921,1
7924,1
7927,2
7928,4
7932,2
7936,3
7940,4
7950,1
7960,3
7974,3
7976,1
7980,2
8542,2
8550,1
8735,2
8750,4
8817,1
8820,2
8824,1
8830,2
8837,1
8854,2
8859,1
8863,1
8880,1
8882,2
8884,1
8901,5
8902,2
8904,5
10001,4435
10002,3348
10003,4267
10004,12
10005,580
10006,572
10007,831
10009,2430
10011,5780
10012,5826
10013,2279
10014,3175
10016,915
10017,2174
10018,2992
10019,1775
10020,1236
10021,2559
10022,1421
10023,1967
10024,17
10025,441
10026,300
10027,218
10028,1931
10029,418
10030,179
10031,108
10032,164
10034,170
10035,231
10037,167
10038,491
10039,156
10044,1047
10065,1577
10069,651
10103,1907
10110,2721
10111,734
10112,231
10115,114
10119,1509
10152,624
10153,2264
10154,702
10162,980
10167,977
10171,865
10199,2231
10271,851
10278,1249
10280,402
10282,816
10301,3
10303,2
10304,6
10305,12
10308,1
10310,1
10311,1
10314,4
10451,76
10452,38
10453,8
10454,19
10455,13
10456,22
10457,14
10458,59
10459,16
10460,21
10461,24
10462,24
10463,70
10464,4
10465,10
10466,7
10467,28
10468,38
10469,19
10470,13
10471,35
10472,8
10473,11
10474,13
10475,21
10502,2
10504,4
10510,1
10514,1
10522,4
10523,10
10528,4
10530,4
10532,3
10533,4
10538,7
10543,6
10552,6
10553,3
10570,1
10573,13
10577,6
10580,16
10583,12
10591,6
10595,1
10601,28
10603,7
10604,12
10605,18
10606,6
10607,1
10701,6
10703,6
10704,6
10705,7
10706,2
10707,1
10708,25
10709,1
10710,5
10801,8
10803,2
10804,6
10805,3
10917,1
10952,1
10960,1
10962,1
10964,1
10965,1
10968,1
10976,1
10977,1
10989,1
11001,12
11003,5
11004,7
11005,6
11010,3
11020,7
11021,12
11023,7
11024,2
11030,13
11040,9
11042,13
11050,5
11096,4
11101,225
11102,242
11103,240
11104,123
11105,147
11106,241
11109,334
11201,1439
11203,63
11204,27
11205,588
11206,531
11207,51
11208,35
11209,97
11210,126
11211,2408
11212,45
11213,186
11214,31
11215,820
11216,413
11217,1096
11218,215
11219,43
11220,167
11221,238
11222,1357
11223,84
11224,32
11225,184
11226,186
11228,27
11229,62
11230,73
11231,845
11233,168
11234,13
11235,45
11236,42
11237,494
11238,825
11239,11
11351,21
11354,38
11355,68
11356,14
11357,14
11358,19
11359,2
11360,13
11361,15
11362,2
11363,13
11364,12
11365,13
11366,15
11367,31
11368,173
11369,26
11370,240
11371,1922
11372,70
11373,79
11374,56
11375,115
11377,98
11378,50
11379,48
11385,39
11411,7
11412,10
11413,10
11414,8
11415,57
11416,24
11417,13
11418,8
11419,13
11420,9
11421,21
11422,2294
11423,13
11426,10
11427,8
11428,7
11429,12
11430,24
11432,51
11433,18
11434,21
11435,43
11436,58
11501,11
11507,3
11509,4
11510,2
11514,12
11516,10
11518,3
11520,7
11530,16
11542,2
11545,6
11548,1
11550,5
11552,1
11553,3
11554,2
11556,12
11557,2
11559,7
11560,1
11561,3
11563,4
11565,4
11566,1
11570,8
11572,1
11576,9
11577,4
11579,1
11580,6
11581,8
11590,8
11596,3
11598,3
11691,4
11692,7
11693,2
11694,3
11697,3
11702,2
11706,2
11710,2
11713,1
11714,3
11715,1
11716,1
11717,1
11718,1
11720,2
11721,1
11722,2
11724,3
11725,2
11729,2
11732,2
11735,5
11741,3
11742,1
11743,6
11747,4
11753,7
11754,1
11755,2
11757,1
11762,4
11764,1
11771,3
11779,1
11780,1
11783,3
11788,4
11790,1
11791,4
11793,1
11795,1
11796,1
11797,7
11801,9
11803,5
11804,3
11933,1
11949,2
