Zip,Number of Trips
6830,1
7002,1
7010,1
7012,1
7017,1
7020,2
7024,3
7030,26
7032,1
7052,1
7063,1
7068,1
7070,3
7072,2
7073,1
7074,1
7086,2
7087,2
7093,4
7094,2
7102,10
7112,1
7114,78
7201,1
7204,1
7206,1
7302,11
7304,2
7305,2
7306,1
7307,2
7310,20
7311,11
7452,1
7470,1
7506,1
7514,1
7601,1
7604,2
7606,1
7608,1
7632,2
7660,1
7670,1
7717,1
7755,1
7960,1
8817,1
8830,1
8837,1
10001,459
10002,365
10003,397
10004,2
10005,64
10006,47
10007,72
10009,229
10011,576
10012,557
10013,237
10014,368
10016,86
10017,237
10018,320
10019,187
10020,125
10021,261
10022,161
10023,176
10024,1
10025,38
10026,34
10027,35
10028,185
10029,44
10030,15
10031,13
10032,16
10034,23
10035,20
10037,14
10038,49
10039,8
10044,89
10065,153
10069,44
10103,167
10110,268
10111,75
10112,23
10115,8
10119,148
10152,65
10153,210
10154,89
10162,105
10167,85
10171,95
10199,237
10271,71
10278,115
10280,41
10282,78
10305,2
10451,15
10452,3
10453,1
10454,2
10455,3
10456,2
10458,7
10459,4
10460,4
10461,1
10462,5
10463,4
10464,1
10465,3
10466,1
10467,2
10468,6
10469,4
10471,7
10472,3
10474,1
10475,1
10523,2
10532,1
10543,2
10553,1
10577,2
10580,2
10591,2
10601,2
10603,1
10605,1
10607,1
10803,2
10804,1
10965,1
11001,2
11004,6
11005,1
11010,2
11020,3
11021,1
11023,1
11030,1
11040,1
11042,5
11050,1
11101,21
11102,21
11103,32
11104,14
11105,15
11106,22
11109,36
11201,140
11203,4
11204,1
11205,55
11206,58
11207,3
11208,1
11209,13
11210,18
11211,228
11212,4
11213,23
11214,2
11215,84
11216,38
11217,103
11218,23
11219,3
11220,25
11221,29
11222,123
11223,6
11224,4
11225,17
11226,12
11228,1
11229,1
11230,7
11231,100
11233,18
11234,1
11235,5
11236,4
11237,60
11238,94
11351,2
11354,2
11355,7
11356,3
11357,2
11361,1
11363,1
11365,1
11367,2
11368,17
11369,2
11370,19
11371,188
11372,7
11373,9
11374,7
11375,5
11377,16
11378,5
11379,7
11385,3
11411,2
11412,2
11413,1
11414,4
11415,6
11416,2
11417,1
11420,1
11421,2
11422,214
11423,1
11426,2
11427,2
11428,1
11430,4
11432,7
11433,2
11434,4
11435,2
11436,7
11501,1
11514,3
11530,3
11552,1
11556,1
11576,1
11581,1
11590,3
11692,1
11694,2
11714,1
11729,1
11735,1
11746,1
11747,1
11749,1
11753,1
11771,1
11783,1
11801,1
