Zip,Number of Trips
6850,1
7002,1
7030,8
7102,2
7110,1
7114,11
7302,4
7310,3
7311,2
10001,48
10002,36
10003,51
10005,6
10006,3
10007,9
10009,20
10011,67
10012,48
10013,19
10014,31
10016,6
10017,18
10018,21
10019,16
10020,11
10021,18
10022,14
10023,27
10025,5
10026,3
10027,1
10028,14
10029,5
10030,2
10031,1
10032,3
10034,1
10035,3
10037,2
10038,6
10039,2
10044,6
10065,13
10069,7
10103,18
10110,38
10111,8
10112,3
10115,2
10119,9
10152,8
10153,26
10154,10
10162,11
10167,9
10171,12
10199,23
10271,7
10278,20
10280,2
10282,11
10455,1
10456,1
10458,1
10472,1
10595,1
10601,1
10801,1
11004,1
11101,4
11102,4
11103,2
11105,1
11106,1
11109,3
11201,15
11205,6
11206,3
11207,1
11209,2
11210,4
11211,32
11213,3
11214,1
11215,3
11216,2
11217,10
11218,1
11220,1
11221,7
11222,12
11223,1
11225,1
11229,1
11230,2
11231,5
11233,1
11235,1
11237,5
11238,7
11355,2
11357,1
11364,2
11367,1
11370,1
11371,16
11372,1
11374,2
11375,2
11377,1
11379,2
11414,1
11415,1
11417,1
11418,1
11422,16
11427,1
11430,1
11436,2
11530,1
11803,1
