Zip,Number of Trips
6450,1
6515,1
6604,1
6605,1
6820,1
6830,4
6851,1
6855,2
6870,2
6878,2
6880,1
6901,6
6902,2
6905,1
6906,1
7001,2
7002,23
7003,4
7004,4
7005,1
7006,3
7008,1
7009,4
7010,15
7011,1
7012,5
7013,1
7014,8
7016,3
7017,2
7018,7
7020,18
7021,4
7022,4
7023,3
7024,40
7026,1
7027,1
7028,10
7029,6
7030,662
7031,7
7032,1
7033,5
7035,1
7036,2
7039,9
7040,11
7041,8
7042,12
7043,11
7044,7
7045,1
7046,3
7047,15
7050,6
7052,14
7054,2
7055,2
7057,3
7060,1
7062,2
7065,6
7067,2
7068,3
7069,2
7070,17
7071,4
7072,36
7073,9
7074,7
7075,6
7076,1
7077,1
7078,22
7079,8
7080,4
7081,6
7083,4
7086,72
7087,49
7088,5
7090,6
7092,3
7093,49
7094,69
7095,2
7102,120
7103,14
7104,2
7105,12
7106,5
7107,9
7108,5
7109,1
7110,6
7111,3
7112,7
7114,1822
7201,41
7202,7
7203,1
7204,1
7205,2
7206,8
7208,8
7302,222
7304,64
7305,23
7306,78
7307,59
7310,581
7311,275
7401,3
7407,1
7410,1
7417,1
7423,1
7424,8
7430,1
7432,2
7436,3
7440,3
7442,1
7444,1
7446,4
7450,10
7452,5
7458,3
7463,1
7465,1
7470,1
7481,3
7495,2
7501,4
7502,1
7503,1
7506,3
7512,2
7513,1
7514,1
7522,1
7524,1
7601,10
7603,2
7604,6
7605,17
7606,3
7607,7
7608,8
7621,7
7626,3
7627,3
7628,3
7631,21
7632,23
7640,1
7643,3
7644,5
7645,3
7646,4
7650,11
7652,9
7656,3
7657,1
7660,6
7661,1
7662,7
7663,1
7666,8
7670,11
7676,5
7677,2
7701,4
7704,1
7711,1
7712,1
7716,2
7717,5
7719,1
7722,1
7723,2
7724,2
7727,1
7728,1
7730,1
7733,1
7739,1
7740,3
7746,1
7750,1
7751,1
7755,1
7756,6
7760,3
7762,4
7764,1
7869,1
7901,16
7921,2
7922,1
7924,1
7927,9
7932,5
7933,1
7936,5
7940,8
7950,2
7960,14
7974,3
7981,2
8528,2
8536,2
8542,10
8735,2
8742,1
8750,3
8807,3
8810,1
