Zip,Number of Trips
6461,1
6604,1
6605,3
6606,1
6615,1
6807,7
6820,3
6824,1
6830,31
6831,1
6840,2
6850,1
6851,1
6854,1
6855,1
6870,6
6878,4
6880,6
6890,3
6901,35
6902,8
6905,2
6906,1
7001,3
7002,104
7003,17
7004,10
7005,3
7006,13
7008,6
7009,9
7010,68
7011,3
7012,31
7013,14
7014,49
7016,11
7017,11
7018,19
7020,63
7021,19
7022,42
7023,7
7024,152
7026,14
7027,8
7028,35
7029,26
7030,2545
7031,18
7032,9
7033,13
7034,2
7035,3
7036,11
7039,30
7040,37
7041,23
7042,51
7043,33
7044,14
7046,15
7047,59
7050,22
7052,42
7054,19
7055,16
7057,10
7058,5
7059,2
7060,1
7062,3
7063,3
7064,1
7065,15
7066,9
7067,5
7068,21
7069,5
7070,72
7071,14
7072,168
7073,28
7074,25
7075,19
7076,3
7077,1
7078,69
7079,66
7080,4
7081,21
7082,1
7083,13
7086,246
7087,194
7088,18
7090,21
7092,8
7093,210
7094,272
7095,12
7102,490
7103,45
7104,17
7105,48
7106,16
7107,13
7108,19
7109,13
7110,26
7111,20
7112,15
7114,7025
7201,147
7202,26
7203,10
7204,12
7205,13
7206,26
7208,31
7302,928
7304,270
7305,86
7306,285
7307,262
7310,2132
7311,1140
7401,8
7405,1
7407,7
7410,3
7417,7
7423,12
7424,12
7430,6
7432,6
7436,3
7440,2
7442,3
7444,3
7446,16
7450,31
7452,11
7457,4
7458,20
7463,9
7470,12
7481,14
7495,4
7501,10
7502,4
7503,2
7505,4
7506,5
7508,1
7512,21
7513,2
7514,3
7524,1
7601,60
7603,15
7604,33
7605,56
7606,12
7607,20
7608,23
7621,17
7624,5
7626,12
7627,7
7628,8
7630,1
7631,79
7632,84
7640,5
7642,9
7643,13
7644,21
7645,11
7646,10
7647,8
7648,19
7649,9
7650,31
7652,34
7656,2
7657,8
7660,45
7661,21
7662,30
7663,13
7666,32
7670,56
7675,4
7676,16
7677,4
7701,8
7702,4
7704,2
7711,7
7712,4
7716,1
7717,33
7719,1
7720,7
7721,2
7722,1
7723,5
7724,1
7726,1
7727,1
7728,2
7730,2
7732,4
7733,4
7737,1
7738,2
7739,2
7740,6
7746,1
7747,2
7748,2
7750,7
7751,2
7753,2
7755,2
7756,14
7757,1
7760,9
7762,16
7764,3
7801,4
7821,1
7834,6
7840,1
7849,1
7866,2
7869,3
7901,61
7921,9
7922,12
7924,7
7927,21
7928,19
7931,1
7932,19
7933,2
7936,15
7939,7
7940,35
7950,13
7960,39
7974,9
7976,3
7980,4
7981,9
8502,1
8512,3
8514,1
8535,1
8536,17
8542,23
8550,5
8553,2
8701,1
8722,1
8723,1
8730,5
8734,1
8735,6
8736,1
8738,2
8741,1
8742,7
8750,17
8751,1
8752,1
8753,1
8755,1
8805,3
8807,6
8812,2
8816,2
8817,15
8820,6
8823,1
8824,1
8828,2
8830,52
8831,1
8832,2
8836,2
8837,19
8840,10
8844,1
8846,2
8850,2
8853,1
8854,17
8857,3
8859,3
8861,4
8863,7
8869,11
8872,1
8873,5
8876,2
8879,7
8880,12
8882,4
8889,1
8901,17
8902,3
8904,44
10001,44866
10002,32963
10003,42508
10004,143
10005,6327
10006,5486
10007,8563
10009,24595
10011,58153
10012,57528
10013,22279
10014,32423
10016,8805
10017,21031
10018,29922
10019,18016
10020,12267
10021,24906
10022,14521
10023,20185
10024,198
10025,4690
10026,3127
10027,2289
10028,19771
10029,4479
10030,1787
10031,986
10032,1723
10034,1568
10035,2176
10037,1573
10038,4817
10039,1386
10044,10736
10065,15586
10069,6308
10103,18607
10110,27299
10111,7087
10112,2276
10115,1282
10119,14727
10152,6247
10153,21943
10154,7494
10162,10020
10167,9276
10171,8905
10199,22458
10271,8378
10278,12127
10280,4097
10282,8358
10301,30
10302,8
10303,16
10304,37
10305,69
10306,9
10308,2
10309,2
10310,7
10311,12
10312,2
10314,6
10451,754
10452,370
10453,165
10454,174
10455,123
10456,175
10457,108
10458,724
10459,155
10460,169
10461,203
10462,290
10463,862
10464,28
10465,134
10466,60
10467,302
10468,474
10469,218
10470,141
10471,451
10472,100
10473,126
10474,114
10475,138
10502,15
10504,21
10506,2
10507,3
10510,12
10514,10
10520,2
10522,29
10523,48
10528,69
10530,23
10532,13
10533,35
10536,4
10538,96
10543,76
10546,1
10549,7
10550,35
10552,41
10553,36
10562,2
10566,1
10570,10
10573,108
10576,1
10577,73
10580,156
10583,114
10589,1
10591,65
10594,4
10595,4
10601,244
10603,33
10604,115
10605,105
10606,30
10607,19
10701,38
10703,45
10704,87
10705,107
10706,14
10707,21
10708,147
10709,16
10710,44
10801,86
10803,34
10804,60
10805,46
10913,5
10920,4
10923,2
10926,1
10952,1
10954,5
10956,7
10960,11
10962,9
10964,11
10965,12
10968,3
10970,1
10977,7
10983,5
10984,1
10986,1
10994,3
11001,91
11003,81
11004,79
11005,34
11010,52
11020,90
11021,120
11023,25
11024,21
11030,115
11040,101
11042,91
11050,48
11096,28
11101,2159
11102,2238
11103,2695
11104,1198
11105,1564
11106,2209
11109,3717
11201,14396
11203,559
11204,220
11205,6413
11206,5260
11207,448
11208,281
11209,1031
11210,1213
11211,24039
11212,477
11213,2028
11214,262
11215,8210
11216,4039
11217,11528
11218,2233
11219,387
11220,1621
11221,2643
11222,12579
11223,770
11224,365
11225,1839
11226,1702
11228,264
11229,530
11230,731
11231,8737
11233,1700
11234,143
11235,461
11236,491
11237,5236
11238,8653
11239,128
11351,163
11354,325
11355,713
11356,178
11357,150
11358,183
11359,20
11360,97
11361,181
11362,28
11363,71
11364,69
11365,142
