Zip,Number of Trips
6820,1
6824,1
6830,2
6851,1
6855,1
6870,2
6890,1
6901,2
6902,1
6905,1
6907,1
7002,16
7003,3
7004,4
7006,2
7008,1
7009,1
7010,4
7011,1
7012,1
7013,1
7014,2
7016,2
7017,1
7018,5
7020,2
7022,1
7024,21
7026,2
7028,2
7029,2
7030,244
7032,3
7033,2
7035,1
7039,4
7040,5
7041,1
7042,5
7043,5
7044,3
7045,1
7046,1
7047,7
7050,5
7052,1
7054,1
7055,1
7057,2
7058,1
7065,1
7066,1
7068,5
7070,3
7071,1
7072,18
7074,4
7075,1
7077,1
7078,3
7079,4
7080,1
7081,4
7083,3
7086,38
7087,19
7088,1
7090,1
7093,19
7094,27
7095,1
7102,53
7103,3
7104,1
7105,5
7106,2
7109,3
7110,3
7111,1
7112,1
7114,710
7201,9
7202,1
7205,1
7206,1
7208,3
7302,93
7304,22
7305,9
7306,33
7307,28
7310,209
7311,122
7401,2
7407,1
7423,2
7424,4
7450,2
7452,1
7458,3
7463,1
7481,2
7501,1
7503,1
7512,2
7601,4
7603,5
7604,6
7605,7
7607,2
7608,1
7621,1
7624,1
7626,1
7627,2
7628,1
7631,12
7632,8
7640,2
7642,1
7645,4
7646,1
7649,1
7650,2
7652,4
7660,3
7662,3
7663,2
7666,1
7670,5
7676,4
7701,2
7711,2
7717,5
7723,1
7726,1
7732,1
7739,1
7740,2
7750,1
7751,1
7756,2
7762,2
7866,1
7876,1
7901,2
7921,1
7922,1
7924,2
7927,1
7928,3
7932,2
7936,2
7940,1
7950,1
7960,7
7981,2
8535,1
8536,3
8542,2
8550,1
8730,2
8735,1
8742,1
8750,3
8810,2
8820,1
8830,6
8837,3
8857,1
8863,1
8869,2
8872,1
8873,1
8901,2
8904,4
10001,4469
10002,3290
10003,4210
10004,11
10005,632
10006,540
10007,787
10009,2473
10011,5838
10012,5812
10013,2256
10014,3300
10016,900
10017,2146
10018,3027
10019,1817
10020,1254
10021,2506
10022,1483
10023,2080
10024,22
10025,469
10026,302
10027,226
10028,1934
10029,465
10030,195
10031,90
10032,179
10034,158
10035,208
10037,152
10038,511
10039,145
10044,1068
10065,1599
10069,644
10103,1784
10110,2788
10111,702
10112,246
10115,138
10119,1472
10152,631
10153,2178
10154,742
10162,987
10167,906
10171,932
10199,2244
10271,830
10278,1204
10280,409
10282,841
10301,2
10303,4
10304,5
10305,11
10306,1
10308,1
10314,3
10451,59
10452,26
10453,17
10454,27
10455,13
10456,13
10457,10
10458,75
10459,20
10460,18
10461,28
10462,28
10463,107
10464,1
10465,11
10466,9
10467,32
10468,41
10469,18
10470,10
10471,48
10472,8
10473,8
10474,12
10475,19
10502,1
10510,2
10520,1
10522,1
10523,2
10528,5
10530,2
10532,1
10533,2
10538,13
10543,6
10550,1
10552,5
10553,2
10570,2
10573,5
10577,7
10580,12
10583,12
10591,7
10594,2
10595,1
10601,23
10603,3
10604,17
10605,8
10606,3
10607,3
10701,2
10703,6
10704,6
10705,6
10707,1
10708,20
10709,4
10710,1
10801,14
10803,9
10804,4
10805,2
10913,1
10954,1
10960,2
10962,1
10964,2
10965,1
10968,1
10989,2
11001,7
11003,4
11004,3
11005,2
11010,4
11020,8
11021,10
11023,3
11024,1
11030,10
11040,9
11042,10
11050,2
11096,2
11101,199
11102,209
11103,274
11104,115
11105,149
11106,233
11109,398
11201,1412
11203,51
11204,16
11205,602
11206,514
11207,38
11208,31
11209,93
11210,99
11211,2472
11212,54
11213,190
11214,24
11215,824
11216,394
11217,1101
11218,217
11219,31
11220,153
11221,253
11222,1231
11223,82
11224,25
11225,179
11226,177
11228,37
11229,56
11230,65
11231,917
11233,179
11234,16
11235,51
11236,35
11237,516
11238,845
11239,9
11351,14
11354,29
11355,58
11356,15
11357,9
11358,17
11359,2
11360,12
11361,17
11362,4
11363,6
11364,11
11365,12
11366,10
11367,35
11368,180
11369,31
11370,212
11371,1994
11372,85
11373,64
11374,70
11375,118
11377,98
11378,52
11379,39
11385,38
11411,15
11412,13
11413,9
11414,11
11415,57
11416,17
11417,14
11418,9
11419,10
11420,8
11421,16
11422,2215
11423,10
11426,8
11427,4
11428,3
11429,11
11430,13
11432,47
11433,18
11434,19
11435,35
11436,67
11501,9
11507,10
11509,4
11510,1
11514,16
11516,12
11518,2
11520,4
11530,11
11548,5
11550,2
11552,2
11553,1
11554,3
11556,12
11557,4
11559,10
11561,3
11563,7
11565,1
11566,3
11568,4
11570,6
11572,1
11575,1
11576,19
11577,6
11579,2
11580,3
11581,11
11590,8
11596,3
11598,2
11691,5
11692,5
11694,2
11697,2
11701,1
11702,1
11703,3
11706,2
11709,1
11714,3
11716,1
11718,1
11724,2
11729,1
11735,5
11741,1
11743,9
11746,1
11747,12
11751,1
11752,1
11753,7
11756,2
11762,1
11767,1
11769,1
11779,1
11780,1
11783,2
11788,2
11791,5
11793,6
11795,2
11797,5
11798,1
11801,7
11803,7
11804,3
11949,1
11951,1
