Zip,Number of Trips
6450,1
6511,1
6606,1
6807,3
6820,2
6824,1
6830,9
6831,1
6855,2
6870,3
6878,1
6880,2
6901,8
6907,1
7002,21
7003,5
7004,5
7005,1
7006,5
7008,4
7009,2
7010,15
7011,1
7012,3
7013,3
7014,13
7016,2
7017,4
7018,6
7020,21
7021,1
7022,6
7023,2
7024,47
7026,6
7027,5
7028,8
7029,4
7030,630
7031,7
7032,3
7033,3
7035,2
7036,3
7039,4
7040,6
7041,5
7042,18
7043,8
7044,2
7046,2
7047,9
7050,10
7052,14
7054,8
7055,3
7057,4
7062,1
7063,2
7065,3
7066,2
7067,2
7068,2
7070,19
7071,1
7072,44
7073,16
7074,6
7075,7
7076,1
7078,18
7079,14
7080,2
7081,7
7083,2
7086,66
7087,53
7088,7
7090,6
7093,43
7094,69
7102,122
7103,6
7104,6
7105,15
7106,3
7107,2
7108,1
7109,4
7110,6
7111,2
7112,7
7114,1737
7201,25
7202,2
7204,2
7205,1
7206,9
7208,11
7302,238
7304,70
7305,25
7306,70
7307,46
7310,530
7311,332
7401,2
7407,1
7410,1
7417,3
7420,1
7423,2
7424,3
7430,1
7432,3
7436,3
7440,1
7442,1
7444,2
7446,3
7450,10
7458,9
7463,2
7470,2
7481,3
7495,2
7501,1
7503,1
7504,4
7506,1
7508,3
7512,4
7513,3
7514,2
7522,1
7524,1
7601,10
7603,3
7604,5
7605,13
7606,3
7607,2
7608,6
7621,3
7626,4
7627,2
7628,1
7631,23
7632,17
7641,1
7642,1
7643,5
7644,6
7645,3
7646,1
7647,3
7648,1
7649,2
7650,4
7652,9
7656,1
7657,2
7660,18
7661,3
7662,5
7663,3
7666,10
7670,11
7676,1
7677,1
7701,3
7703,1
7711,2
7716,2
7717,6
7719,1
7720,5
7723,2
7727,1
7730,4
7740,5
7747,1
7750,1
7753,1
7755,1
7756,3
7760,1
7762,1
7764,2
7801,1
7876,1
7885,1
7901,17
7920,2
7921,3
7924,1
7927,3
7928,3
7931,1
7932,1
7936,6
7939,2
7940,11
7946,1
7950,4
7960,11
7974,2
7976,2
7981,3
8520,1
8536,1
8542,6
8550,1
8730,2
8742,5
8750,4
8807,4
8810,1
8817,2
8820,1
8828,1
8830,12
8835,1
8837,5
8840,1
8854,4
8857,1
8859,2
8861,2
8863,3
8872,2
8879,2
8880,3
8882,1
8884,1
8901,1
8904,9
10001,11212
10002,8149
10003,10689
10004,32
10005,1607
10006,1346
10007,2014
10009,6216
10011,14621
10012,14373
10013,5530
10014,8101
10016,2203
10017,5320
10018,7451
10019,4488
10020,3120
10021,6055
10022,3703
