Zip,Number of Trips
1566,1
6605,2
6807,1
6820,1
6830,4
6850,1
6851,1
6854,1
6870,3
6878,2
6880,3
6890,1
6901,7
6902,4
6906,1
7001,1
7002,21
7003,8
7004,1
7006,2
7009,5
7010,24
7011,1
7012,3
7013,1
7014,4
7016,5
7017,1
7018,2
7020,21
7021,4
7022,11
7023,2
7024,55
7026,2
7028,7
7029,8
7030,644
7031,6
7032,1
7033,3
7035,2
7036,2
7039,7
7040,10
7041,3
7042,8
7043,5
7044,5
7045,1
7046,4
7047,16
7050,6
7052,7
7054,1
7055,3
7057,3
7062,1
7065,1
7066,4
7067,1
7068,6
7069,1
7070,15
7071,3
7072,28
7073,10
7074,6
7075,3
7076,1
7077,1
7078,21
7079,15
7080,3
7081,3
7083,7
7086,50
7087,46
7088,6
7090,5
7092,2
7093,62
7094,73
7095,2
7102,111
7103,11
7104,4
7105,19
7106,5
7107,2
7108,8
7109,5
7110,11
7111,4
7112,6
7114,1699
7201,31
7202,5
7203,3
7204,2
7205,3
7206,5
7208,8
7302,248
7304,74
7305,22
7306,70
7307,61
7310,546
7311,309
7401,5
7407,1
7410,2
7417,4
7423,3
7424,4
7436,2
7440,1
7446,2
7450,8
7452,3
7457,1
7458,5
7463,2
7470,11
7481,3
7495,2
7501,1
7502,1
7506,3
7508,2
7512,3
7513,1
7522,1
7601,17
7603,12
7604,12
7605,11
7606,4
7607,10
7608,6
7621,6
7624,1
7626,6
7627,7
7628,1
7631,26
7632,24
7640,1
7642,1
7643,5
7644,3
7645,4
7647,1
7648,1
7649,2
7650,13
7652,7
7657,2
7660,13
7661,3
7662,8
7663,9
7666,6
7670,16
7676,4
7677,2
7701,2
7704,1
7717,12
7721,1
7724,1
7731,1
7733,1
7739,1
7740,1
7746,1
7747,1
7748,1
7750,2
7753,1
7755,1
7756,2
7757,1
7760,3
7762,2
7764,2
7803,1
7834,1
7901,17
7920,1
7921,2
7922,3
7924,1
7927,4
7928,7
7932,4
7936,5
7940,10
7950,2
7960,16
7974,2
7976,1
7980,2
7981,1
8540,1
8542,10
8550,1
8730,2
8734,1
8735,1
8738,1
8750,2
8751,1
8755,1
8807,2
8817,6
8830,11
8837,4
8840,2
8850,2
8854,4
8857,1
8859,1
8863,4
8869,1
8872,1
8879,2
8880,2
8882,1
8901,1
8904,13
10001,11149
10002,8274
10003,10666
10004,28
10005,1530
10006,1388
10007,2014
10009,6183
10011,14529
10012,14500
10013,5550
10014,8157
10016,2240
10017,5173
10018,7499
10019,4587
10020,3079
10021,6101
10022,3571
10023,4953
10024,45
10025,1165
10026,749
10027,567
10028,4921
10029,1135
10030,444
10031,253
10032,440
10034,404
10035,576
10037,432
10038,1266
10039,356
10044,2733
10065,3870
10069,1622
10103,4629
10110,7057
10111,1804
10112,545
10115,351
10119,3740
10152,1552
10153,5500
10154,1812
10162,2561
10167,2354
10171,2244
10199,5580
10271,2114
10278,3127
10280,1054
10282,2094
10301,10
10302,2
10303,6
10304,9
10305,22
10306,1
10310,4
10311,2
10312,1
10314,2
10451,198
10452,87
10453,46
10454,43
10455,29
10456,44
10457,45
10458,163
10459,37
10460,44
10461,45
10462,75
10463,228
10464,13
10465,37
10466,24
10467,73
10468,113
10469,58
10470,33
10471,111
10472,28
10473,40
10474,21
10475,31
10502,10
10504,2
10506,1
10510,5
10514,3
10520,1
10522,5
10523,17
10524,1
10528,13
10530,4
10532,4
10533,10
10536,1
10538,19
10543,22
10549,2
10550,8
10552,11
10553,4
10562,1
10570,1
10573,24
10577,27
10580,34
10583,23
10591,21
10601,55
10603,6
10604,35
10605,29
10606,7
10607,1
10701,6
10703,11
10704,28
10705,21
10706,5
10707,8
10708,37
10709,6
10710,12
10801,21
10803,10
10804,18
10805,9
10901,1
10920,1
10954,2
10960,2
10964,2
10965,1
10968,3
10977,1
10983,1
10994,2
11001,23
11003,14
11004,16
11005,7
11010,11
11020,25
11021,31
11023,9
11024,2
11030,24
11040,22
11042,20
11050,10
11096,8
11101,527
11102,539
11103,620
11104,283
11105,388
11106,521
11109,924
11201,3561
11203,133
11204,56
11205,1580
11206,1311
11207,116
11208,69
11209,260
11210,284
11211,5882
11212,105
11213,482
11214,75
11215,2063
11216,979
11217,2854
11218,594
11219,95
11220,382
11221,682
11222,3089
11223,209
11224,85
11225,435
11226,447
11228,71
11229,131
11230,179
11231,2232
11233,432
11234,31
11235,127
11236,122
11237,1270
11238,2133
11239,38
11351,50
11354,79
11355,200
11356,44
11357,40
11358,44
11359,4
11360,27
11361,34
11362,15
11363,19
11364,22
11365,27
11366,38
11367,80
11368,419
11369,58
11370,605
11371,4941
11372,216
11373,188
11374,142
11375,287
11377,257
11378,136
11379,96
11385,114
11411,26
11412,25
11413,26
11414,39
11415,126
11416,45
11417,42
11418,25
11419,32
11420,34
11421,57
11422,5685
11423,19
11426,15
11427,19
11428,17
11429,23
11430,34
11432,107
11433,47
11434,52
11435,115
11436,146
11501,18
11507,6
11509,14
11510,1
11514,54
11516,17
11518,1
11520,15
11530,50
11542,4
11545,4
11548,10
11550,3
11552,8
11553,4
11554,4
11556,29
11557,5
11558,1
11559,14
11560,5
11561,11
11563,10
11565,6
11566,4
11568,9
11570,18
11572,2
11575,4
11576,14
11577,7
11579,2
11580,14
11581,26
11590,8
11596,6
11598,11
11691,11
11692,21
11693,1
11694,8
11697,3
11702,7
11706,5
11709,2
11710,7
11714,11
11715,2
11716,1
11717,2
11718,3
11721,2
11722,2
11724,3
11725,2
11726,1
11729,1
11730,1
11732,3
11735,14
11738,1
11741,3
11742,2
11743,12
11746,3
11747,14
11749,5
11752,2
11753,22
11755,1
11756,6
11757,3
11758,3
11771,2
11779,3
11783,4
11786,1
11788,4
11790,1
11791,14
11793,4
11795,1
11796,3
11797,23
11801,19
11803,20
11804,7
