Zip,Number of Trips
1566,1
6460,1
6605,1
6807,1
6820,2
6824,2
6830,11
6851,3
6855,1
6870,1
6878,2
6880,3
6890,3
6901,18
6902,5
6905,2
6906,1
7001,2
7002,55
7003,17
7004,9
7005,1
7006,2
7008,4
7009,9
7010,33
7011,1
7012,9
7013,5
7014,15
7016,5
7017,7
7018,5
7020,36
7021,7
7022,19
7023,5
7024,78
7026,13
7027,2
7028,17
7029,12
7030,1300
7031,8
7032,3
7033,8
7036,4
7039,19
7040,16
7041,10
7042,29
7043,22
7044,9
7045,3
7046,7
7047,25
7050,13
7052,21
7054,8
7055,7
7057,3
7058,3
7060,1
7063,2
7065,10
7066,5
7067,3
7068,9
7069,3
7070,36
7071,2
7072,90
7073,18
7074,11
7075,5
7076,1
7078,50
7079,23
7080,3
7081,14
7083,6
7086,112
7087,102
7088,10
7090,8
7092,3
7093,113
7094,134
7095,2
7102,234
7103,22
7104,10
7105,27
7106,12
7107,5
7108,9
7109,3
7110,18
7111,7
7112,8
7114,3530
7201,65
7202,14
7203,2
7204,4
7205,8
7206,11
7208,16
7302,443
7304,138
7305,45
7306,141
7307,127
7310,1133
7311,574
7401,4
7403,1
7405,1
7407,2
7410,4
7417,7
7423,8
7424,10
7432,4
7442,3
7444,2
7446,10
7450,18
7452,7
7457,3
7458,11
7463,8
7470,7
7481,8
7495,1
7501,4
7502,2
7503,1
7505,3
7506,5
7508,1
7512,11
7513,3
7514,1
7524,2
7601,25
7603,9
7604,9
7605,22
7606,4
7607,10
7608,7
7621,4
7626,13
7627,3
7628,2
7631,43
7632,32
7640,3
7642,6
7643,4
7644,7
7645,7
7646,4
7647,4
7648,2
7649,6
7650,20
7652,19
7657,5
7660,25
7661,9
7662,19
7663,5
7666,17
7670,22
7675,3
7676,4
7677,5
7701,9
7704,2
7711,5
7712,2
7716,1
7717,25
7719,3
7720,4
7721,1
7722,1
7723,5
7724,2
7727,1
7728,1
7730,1
7732,2
7733,1
7739,2
7740,2
7748,2
7750,4
7751,2
7755,1
7756,10
7757,1
7762,9
7764,6
7834,7
7869,1
7901,29
7921,2
7922,5
7924,4
7927,11
7928,3
7931,1
7932,6
7933,2
7936,6
7939,3
7940,18
7946,1
7950,5
7960,26
7974,9
7976,2
7980,1
7981,5
8502,1
8514,1
8520,1
8528,3
8536,9
8542,17
8550,4
8722,1
8724,1
8730,2
8735,2
8738,3
8742,6
8750,9
8805,1
8807,5
8812,1
8817,3
8820,8
8828,1
8830,22
8832,1
8837,5
8840,5
8846,3
8854,8
8857,1
8859,1
8861,1
8863,7
8869,2
8872,1
8873,2
8876,3
8879,6
8880,3
8882,1
8901,6
8902,5
8904,22
10001,22623
10002,16617
10003,21107
10004,69
10005,3098
10006,2738
10007,4226
10009,12081
10011,29083
10012,28740
10013,11163
10014,16197
10016,4399
10017,10694
10018,14942
10019,8950
10020,6193
10021,12369
10022,7385
10023,10005
10024,87
10025,2351
10026,1547
10027,1123
10028,9998
10029,2172
10030,840
10031,520
10032,860
10034,780
10035,1068
10037,876
10038,2494
10039,642
10044,5263
10065,7737
10069,3277
10103,9305
10110,13870
10111,3492
10112,1098
10115,627
10119,7398
10152,3193
10153,11025
10154,3797
10162,5077
10167,4641
10171,4423
10199,11192
10271,4247
10278,6066
10280,2026
10282,4106
10301,20
10302,4
10303,13
10304,19
10305,36
10306,3
10308,1
10309,1
10310,6
10311,8
10312,1
10314,7
10451,365
10452,172
10453,67
10454,86
10455,65
10456,97
10457,66
10458,357
10459,52
10460,79
10461,95
10462,154
10463,417
10464,22
10465,73
10466,43
10467,143
10468,220
10469,106
10470,48
10471,274
10472,65
10473,51
10474,50
10475,57
10502,8
10504,5
10506,1
10507,3
10510,2
10514,5
10518,1
10522,15
10523,21
10524,1
10528,18
10530,12
10532,5
10533,18
10538,47
10543,44
10549,3
10550,15
10552,16
10553,22
10566,1
10570,3
10573,46
10577,49
10580,70
10583,51
10589,2
10591,43
10594,4
10595,4
10601,108
10603,22
10604,57
10605,38
10606,14
10607,14
10701,22
10703,29
10704,43
10705,44
10706,11
10707,9
10708,75
10709,13
10710,25
10801,35
10803,25
10804,24
10805,23
10913,2
10920,2
10923,1
10952,2
10954,3
10956,1
10960,3
10962,4
10964,5
10965,1
10968,4
10970,1
10977,2
10983,1
10989,1
10994,5
11001,50
11003,39
11004,42
11005,17
11010,26
11020,46
11021,58
11023,18
11024,9
11030,51
11040,48
11042,47
11050,28
11096,12
11101,1131
11102,1027
11103,1329
11104,636
11105,789
11106,1048
11109,1855
11201,7065
11203,262
11204,97
11205,3265
11206,2668
11207,229
11208,138
11209,543
11210,576
11211,12213
11212,235
11213,1016
11214,133
11215,4047
11216,2053
11217,5720
11218,1144
11219,157
11220,826
11221,1337
11222,6289
11223,398
11224,195
11225,883
11226,880
11228,164
11229,255
11230,338
11231,4451
11233,830
11234,91
11235,226
11236,253
11237,2566
11238,4279
11239,60
11351,69
11354,146
11355,389
11356,85
11357,89
11358,74
11359,10
11360,56
11361,86
11362,16
11363,51
11364,48
11365,82
11366,76
11367,159
11368,860
11369,116
11370,1120
11371,9625
11372,383
11373,359
11374,299
11375,541
11377,530
11378,273
11379,216
11385,188
11411,46
11412,42
11413,53
11414,55
11415,296
11416,111
11417,73
11418,56
11419,59
11420,55
11421,89
11422,11594
11423,53
11426,35
11427,50
11428,32
11429,42
11430,81
11432,213
11433,79
11434,107
11435,207
11436,301
11501,29
11507,11
11509,30
11510,11
11514,74
11516,43
11518,4
11520,25
11530,76
11542,10
11545,13
11548,17
11550,11
11552,14
11553,5
11554,14
11556,55
11557,12
11558,4
11559,23
11560,7
11561,30
11563,17
11565,9
11566,11
11568,11
11570,31
11572,6
11575,9
11576,50
11577,22
11579,5
11580,25
11581,41
11590,23
11596,19
11598,19
11691,25
11692,20
11693,3
11694,13
11697,8
11701,5
11702,5
11703,2
11704,3
11705,3
11706,10
11709,1
11710,13
11713,4
11714,15
11715,3
11716,8
11717,4
11718,2
11720,1
11721,1
11722,2
11724,7
11725,5
11726,3
11729,8
11731,4
11732,6
11735,18
11738,1
11741,10
11742,3
11743,20
11746,5
11747,32
11749,9
11751,2
11752,2
11753,54
11754,1
11755,1
11756,9
11757,3
11758,9
11762,6
11767,2
11769,1
11771,1
11777,3
11779,4
11780,2
11782,1
11783,4
11787,4
11788,7
11790,3
11791,26
11793,12
11795,2
11796,5
11797,28
11798,6
11801,53
11803,27
11804,13
11933,1
11934,2
11949,1
11950,1
11951,1
11953,1
11967,2
11976,1
11980,1
