Zip,Number of Trips
6830,1
7004,1
7010,2
7020,1
7022,1
7029,1
7030,24
7047,1
7059,1
7072,3
7078,1
7087,4
7090,2
7093,2
7094,2
7095,1
7102,7
7103,1
7104,1
7108,1
7109,1
7110,1
7114,69
7302,12
7304,2
7306,3
7307,3
7310,25
7311,10
7424,1
7458,1
7495,1
7604,1
7631,1
7632,1
7646,1
7662,1
7666,1
7670,1
7716,1
7801,1
7936,1
7950,1
7974,1
8824,1
8873,1
10001,440
10002,353
10003,405
10005,56
10006,45
10007,88
10009,236
10011,590
10012,581
10013,191
10014,343
10016,95
10017,211
10018,316
10019,168
10020,131
10021,245
10022,161
10023,207
10024,2
10025,49
10026,26
10027,16
10028,209
10029,39
10030,8
10031,10
10032,16
10034,18
10035,28
10037,15
10038,50
10039,17
10044,111
10065,173
10069,72
10103,187
10110,296
10111,69
10112,20
10115,12
10119,167
10152,72
10153,218
10154,74
10162,75
10167,106
10171,95
10199,241
10271,74
10278,105
10280,46
10282,83
10305,1
10306,1
10451,9
10452,7
10453,7
10454,4
10455,2
10456,1
10457,1
10458,4
10459,3
10460,3
10461,4
10462,1
10463,6
10465,2
10467,3
10468,6
10469,2
10471,6
10473,1
10475,3
10530,1
10543,1
10552,1
10573,1
10580,3
10601,1
10604,1
10605,1
10606,1
10607,1
10701,1
10708,3
10710,1
10801,1
10804,1
10983,1
11004,1
11005,1
11021,1
11023,1
11030,1
11042,1
11101,14
11102,20
11103,32
11104,11
11105,19
11106,13
11109,45
11201,141
11203,6
11204,1
11205,55
11206,42
11207,6
11208,3
11209,7
11210,6
11211,251
11212,4
11213,13
11215,71
11216,39
11217,115
11218,22
11220,11
11221,26
11222,119
11223,7
11224,1
11225,21
11226,17
11229,8
11230,9
11231,101
11233,15
11234,4
11235,4
11236,2
11237,45
11238,99
11239,1
11351,2
11354,6
11355,7
11356,2
11357,2
11358,2
11360,1
11361,4
11365,2
11367,1
11368,18
11369,4
11370,29
11371,191
11372,8
11373,8
11374,6
11375,5
11377,10
11378,1
11379,5
11385,1
11411,2
11412,3
11414,2
11415,6
11416,3
11417,1
11419,2
11420,2
11421,5
11422,210
11423,1
11427,1
11428,2
11432,5
11434,2
11435,4
11436,8
11501,1
11507,1
11509,1
11514,1
11520,1
11530,3
11548,3
11553,1
11554,1
11556,2
11563,2
11576,1
11580,1
11581,1
11598,1
11691,1
11701,1
11715,1
11731,1
11732,1
11741,1
11747,2
11753,2
11771,1
11793,1
11803,1
11804,1
