Zip,Number of Trips
6605,2
6606,1
6615,1
6807,2
6820,5
6824,1
6825,1
6830,8
6854,1
6855,3
6870,3
6878,2
6880,3
6883,1
6901,16
6902,3
6907,1
7001,1
7002,61
7003,5
7004,5
7005,2
7006,8
7008,2
7009,2
7010,33
7011,3
7012,15
7013,4
7014,17
7016,7
7017,9
7018,9
7020,30
7021,13
7022,22
7023,1
7024,89
7026,11
7027,6
7028,20
7029,11
7030,1301
7031,13
7032,2
7033,2
7035,1
7036,2
7039,14
7040,18
7041,8
7042,17
7043,17
7044,10
7045,1
7046,6
7047,24
7050,10
7052,25
7054,9
7055,2
7057,6
7058,1
7059,2
7062,3
7065,6
7066,8
7067,2
7068,10
7069,1
7070,29
7071,4
7072,88
7073,21
7074,15
7075,10
7076,1
7078,37
7079,26
7080,1
7081,7
7083,7
7086,129
7087,107
7088,5
7090,11
7093,97
7094,148
7095,5
7102,235
7103,22
7104,8
7105,35
7106,12
7107,1
7108,9
7109,8
7110,11
7111,10
7112,8
7114,3536
7201,84
7202,13
7203,4
7204,2
7205,9
7206,18
7208,13
7302,421
7304,149
7305,45
7306,156
7307,115
7310,1061
7311,577
7401,3
7407,3
7410,2
7417,10
7423,8
7424,4
7430,2
7432,3
7436,2
7440,1
7442,2
7444,2
7446,9
7450,15
7452,9
7457,1
7458,12
7463,7
7470,10
7481,4
7495,4
7501,3
7502,2
7503,2
7504,1
7505,1
7506,3
7508,1
7512,5
7513,2
7514,4
7522,1
7524,6
7601,22
7603,11
7604,18
7605,26
7606,6
7607,15
7608,8
7621,6
7624,1
7626,9
7627,2
7628,7
7631,50
7632,34
7640,5
7642,3
7643,5
7644,7
7645,5
7646,1
7647,4
7648,7
7649,3
7650,10
7652,14
7656,2
7657,4
7660,26
7661,5
7662,7
7663,6
7666,20
7670,28
7675,1
7676,8
7677,3
7701,3
7702,1
7704,2
7711,3
7712,1
7716,2
7717,29
7719,1
7720,4
7722,1
7723,1
7724,2
7728,1
7730,1
7733,5
7734,1
7739,2
7740,3
7746,2
7747,1
7748,2
7750,2
7751,1
7753,2
7755,1
7756,9
7760,5
7762,8
7801,1
7834,2
7901,27
7920,2
7921,1
7922,7
7924,2
7927,14
7928,5
7932,10
7933,1
