Zip,Number of Trips
6606,1
6830,4
6870,2
6878,1
6897,1
6901,1
6905,2
7002,12
7003,2
7005,1
7006,4
7008,1
7009,2
7010,9
7011,1
7012,3
7013,2
7014,5
7016,1
7017,1
7018,1
7020,7
7021,2
7022,4
7023,1
7024,6
7026,5
7027,3
7028,9
7029,2
7030,239
7031,2
7032,1
7033,3
7036,2
7039,1
7040,5
7041,3
7042,3
7043,4
7044,1
7045,1
7046,3
7047,8
7050,1
7052,3
7054,4
7057,2
7058,1
7059,1
7065,2
7066,1
7067,2
7068,4
7069,1
7070,8
7072,21
7073,6
7075,3
7078,9
7079,9
7081,2
7083,1
7086,16
7087,18
7088,1
7093,24
7094,26
7095,1
7102,49
7103,7
7104,3
7105,5
7107,1
7108,1
7109,1
7110,1
7111,1
7112,4
7114,722
7201,12
7204,1
7205,1
7206,1
7208,5
7302,98
7304,27
7305,18
7306,33
7307,25
7310,209
7311,121
7417,2
7424,2
7430,1
7442,1
7444,1
7446,2
7450,1
7452,1
7481,2
7508,1
7512,3
7513,1
7522,1
7601,7
7603,2
7605,6
7606,1
7607,2
7608,4
7621,2
7626,2
7627,1
7628,1
7631,9
7632,11
7640,1
7642,1
7643,2
7644,5
7646,2
7648,1
7649,1
7650,2
7652,5
7656,1
7660,3
7661,1
7662,5
7666,2
7670,3
7676,2
7701,1
7704,1
7711,2
7717,3
7720,1
7722,1
7739,1
7740,1
7751,1
7753,1
7756,3
7760,1
7762,2
7764,1
7821,1
7901,4
7921,1
7927,3
7928,2
7932,4
7936,1
7940,5
7950,3
7960,8
7974,1
7976,3
7981,1
8536,2
8542,2
8730,1
8736,2
8750,1
8807,1
8816,1
8820,2
8830,3
8837,3
8846,1
8854,3
8869,2
8880,2
8901,2
8904,5
10001,4422
10002,3323
10003,4352
10004,12
10005,647
10006,541
10007,802
10009,2434
10011,5791
10012,5830
10013,2222
10014,3190
10016,933
10017,2111
10018,3000
10019,1797
10020,1165
10021,2454
10022,1457
10023,1990
10024,17
10025,455
10026,329
10027,209
10028,2023
10029,470
10030,166
10031,94
10032,188
10034,162
10035,191
10037,159
10038,483
10039,144
10044,1093
10065,1571
10069,621
10103,1849
10110,2812
10111,715
10112,239
10115,113
10119,1423
10152,610
10153,2163
10154,762
10162,931
10167,976
10171,922
10199,2203
10271,859
10278,1219
10280,456
10282,901
10301,3
10302,2
10303,4
10304,6
10305,7
10306,2
10310,2
10311,1
10314,1
10451,73
10452,27
10453,21
10454,19
10455,12
10456,18
10457,20
10458,83
10459,12
10460,21
10461,25
10462,37
10463,90
10464,4
10465,14
10466,7
10467,21
10468,67
10469,32
10470,22
10471,50
10472,17
10473,6
10474,12
10475,15
10502,4
10504,6
10507,2
10510,3
10522,4
10523,5
10528,6
10530,4
10532,3
10533,5
10538,11
10543,9
10550,1
10552,2
10553,4
10570,1
10573,15
10576,1
10577,6
10580,11
10583,10
10589,1
10591,12
10595,1
10601,18
10603,3
10604,12
10605,9
10606,6
10607,3
10701,2
10703,4
10704,8
10705,5
10706,2
10708,14
10709,2
10710,1
10801,11
10803,3
10804,2
10805,2
10913,1
10954,1
10968,1
10977,1
11001,5
11003,6
11004,10
11005,4
11010,5
11020,10
11021,13
11023,4
11024,1
11030,10
11040,10
11042,10
11050,4
11096,2
11101,205
11102,199
11103,286
11104,120
11105,181
11106,200
11109,372
11201,1425
11203,48
11204,23
11205,662
11206,490
11207,45
11208,34
11209,108
11210,112
11211,2423
11212,52
11213,209
11214,31
11215,830
11216,406
11217,1147
11218,229
11219,45
11220,140
11221,247
11222,1214
11223,90
11224,36
11225,172
11226,182
11228,16
11229,62
11230,70
11231,869
11233,183
11234,15
11235,41
11236,41
11237,498
11238,882
11239,18
11351,14
11354,30
11355,70
11356,13
11357,9
11358,17
11359,2
11360,7
11361,16
11362,2
11363,3
11364,9
11365,14
11366,22
11367,32
11368,187
11369,35
11370,219
11371,1961
11372,83
11373,68
11374,61
11375,109
11377,109
11378,45
11379,40
11385,35
11411,8
11412,8
11413,15
11414,14
11415,47
11416,13
11417,7
11418,15
11419,11
11420,12
11421,17
11422,2270
11423,9
11426,10
11427,11
11428,8
11429,9
11430,14
11432,38
11433,8
11434,24
11435,43
11436,62
11501,7
11507,5
11509,5
11510,1
11514,17
11516,10
11520,6
11530,20
11542,2
11545,2
11548,6
11550,5
11552,4
11553,2
11554,1
11556,10
11557,1
11559,9
11560,2
11561,3
11563,6
11565,1
11566,1
11568,1
11570,4
11572,2
11575,2
11576,11
11577,5
11580,6
11581,13
11596,1
11598,1
11691,4
11692,9
11694,4
11697,2
11703,1
11705,1
11709,1
11710,1
11714,5
11715,2
11716,4
11717,2
11718,2
11720,1
11721,1
11725,2
11726,1
11729,1
11731,1
11735,4
11741,2
11743,3
11746,2
11747,8
11751,1
11753,10
11756,1
11758,1
11763,1
11766,1
11777,1
11780,2
11783,1
11790,2
11791,9
11793,1
11796,1
11797,5
11798,1
11801,7
11803,8
11804,2
11933,1
